track_id,name,album,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),David Guetta,89,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),Love Tonight (David Guetta Remix),Shouse,78,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
1hmI7H4W0ChPH6vfa9i2CQ,Prada (feat. D-Block Europe) - Valexus Remix,Prada (feat. D-Block Europe) [Valexus Remix],cassö,73,0.67,0.748,1,-11.441,1,0.123,0.0236,0.00874,0.106,0.557,153.938,135126,4
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,In My Mind,Dynoro,79,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
4M9kHcpZQZNzRnAhIQ1YLM,The World Is Mine,The World Is Mine,ConKi,63,0.736,0.711,5,-6.272,1,0.0625,0.0082,6.66e-05,0.168,0.317,123.993,159783,4
0oCNRAmwLo4zHDpCKpjQtI,Ferrari - Oliver Heldens Remix,Ferrari (Oliver Heldens Remix),James Hype,63,0.73,0.903,1,-5.64,0,0.0427,0.00806,0.252,0.0998,0.694,124.957,188640,4
09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,87,0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,140000,4
19eIZmuXlBmLTha1lPHef7,Alors On Danse - DubDogz Remix,Alors On Danse (DubDogz Remix),Stromae,70,0.789,0.752,1,-4.274,0,0.164,0.027,2.69e-05,0.613,0.739,122.98,168577,4
5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,Give It To Me (Full Vocal Mix),Matt Sassari,84,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,102861,4
0RgUxB0pyyzPm5apCmBnHZ,Tu Es Foutu,Tu Es Foutu,ConKi,61,0.787,0.615,11,-10.815,1,0.0975,0.0895,0.0101,0.0799,0.43,130.008,123904,4
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,Baby Don't Hurt Me,David Guetta,84,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,4
7fZBQnc0zXwVybgCIrQQil,Belly Dancer,Belly Dancer,Imanbek,81,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,151475,4
23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,84,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,231545,4
31nfdEooLEq7dn3UMcIeB5,Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,86,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4
7FCwyB95mIWQMYvXvXNZ8U,One in a Million,One in a Million,ATHYN,54,0.568,0.879,11,-4.368,1,0.0454,0.027,1.77e-06,0.279,0.278,75.024,158400,4
18asYwWugKjjsihZ0YvRxO,The Motto,The Motto,Tiësto,77,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,4
1bFgMkoazsyZGSflpCzYm6,Pepas - Tiësto Remix,Pepas (Tiësto Remix),Farruko,68,0.769,0.688,7,-4.378,1,0.0501,0.00215,0.107,0.088,0.387,130.026,223385,4
2USlegnFJLrVLpoVfPimKB,Thunder,Thunder,Gabry Ponte,80,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
4h4Em3iM0Vp45KD7b5wW3Z,90s Better,90s Better,ConKi,60,0.548,0.991,0,-3.524,0,0.0482,0.11,0.00105,0.131,0.646,145.982,139970,4
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,78,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
7jgJjI198nMhTpJ80f0LeK,Where Are You Now - Deluxe Mix,Where Are You Now (Deluxe Mix),Lost Frequencies,47,0.691,0.726,1,-8.943,0,0.0534,0.265,0.0171,0.317,0.181,126.028,254731,4
052SluA0wYuapSVe9VzK6m,When Love Takes Over,When Love Takes Over,VARGENTA,54,0.603,0.824,0,-6.55,1,0.0638,0.147,2.75e-05,0.345,0.47,144.835,117953,4
6GomT970rCOkKAyyrwJeZi,Move Your Body,Move Your Body,Öwnboss,79,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,4
0LMwmV37RCmBO2so0szAFs,Whatever,Whatever,Kygo,89,0.58,0.777,3,-5.69,1,0.0655,0.104,0.0,0.342,0.589,108.005,178273,4
6iW38RGqdDGOofmz2HeXLW,Piece Of Your Heart - Alok Remix,Piece Of Your Heart (Alok Remix),MEDUZA,73,0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,166452,4
0zKbDrEXKpnExhGQRe9dxt,Lay Low,Lay Low,Tiësto,77,0.555,0.884,1,-4.424,0,0.213,0.0645,8.18e-05,0.349,0.42,121.906,153443,4
5cOSrZbXBlAARg81bp8bk9,Faded,Faded,BOOTY LEAK,55,0.609,0.691,0,-9.392,1,0.168,0.0207,0.499,0.415,0.294,154.94,103355,4
2W5n5YsWKPy3kw3yMb4qh0,Shivers - Alok Remix,Shivers (Alok Remix),Ed Sheeran,54,0.66,0.866,4,-5.278,0,0.0598,0.0137,4e-06,0.417,0.596,128.072,172500,4
7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,81,0.687,0.818,0,-4.221,1,0.0778,0.0112,0.0,0.248,0.886,125.952,165753,4
1ohLQfIwj9NUN7e5UKeDl9,Head & Heart (feat. MNEK) - Tiësto Remix,Head & Heart (feat. MNEK) [Tiësto Remix],Joel Corry,61,0.693,0.866,5,-4.964,0,0.0498,0.0689,0.0,0.145,0.663,126.002,124778,4
5smV9PLgN7AoQfbSP6DbsZ,Reciprocate,Reciprocate,Zummer,52,0.661,0.976,6,-3.636,1,0.061,0.00186,0.00123,0.103,0.644,150.045,131200,4
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,79,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),Your Love (9PM),ATB,77,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,4
09rAJ1Q1NNJSaUKEW3X9P6,Crying On The Dancefloor,Crying On The Dancefloor,Sam Feldt,76,0.627,0.796,10,-5.192,1,0.08,0.116,0.0,0.109,0.33,125.99,173009,4
20on25jryn53hWghthWWW3,Do It To It,Do It To It,ACRAZE,79,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4
7GGgftep0Q8TZzL07qhPbc,Let You Go,Let You Go,ConKi,57,0.647,0.901,7,-4.419,0,0.0304,0.0158,0.0221,0.151,0.4,121.986,159672,4
525GY0mXYnxajolwgS8Eaz,Cooler Than Me,Cooler Than Me,Lucky Luke,68,0.889,0.716,7,-6.146,1,0.0708,0.0595,0.0409,0.168,0.296,128.022,179760,4
5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,81,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,186496,4
6i7zAdNhzUN2k1HcrBxPHG,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,61,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,156960,4
51Of5p3lKZeOg6itfs4og4,Lovefool,Lovefool,twocolors,69,0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,190488,4
7vuqyEt5hBBxSuakZBZLiK,Ghost,Ghost,ConKi,57,0.582,0.898,1,-4.516,0,0.0343,0.0162,0.0021,0.156,0.42,119.962,184250,4
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),All Around The World (La La La),R3HAB,75,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840,4
1o9D0rUusi2V5idyOEOPII,Sweet Dreams (Are Made of This),Sweet Dreams (are Made of This),Winati,57,0.815,0.647,9,-7.162,0,0.218,0.399,0.0,0.0738,0.182,125.95,176773,4
4Fo1ymHqRDGloYpbR8PQBE,Make You Happy,Make You Happy,K!llx,50,0.636,0.997,6,-3.617,1,0.0878,0.0888,0.0375,0.0589,0.57,150.003,144000,4
6f3Slt0GbA2bPZlz0aIFXN,The Business,The Business,Tiësto,76,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4
6YUTL4dYpB9xZO5qExPf05,Summer,Motion,Calvin Harris,85,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,4
0XX5PxqMoXAPxBZ0qYqSwI,Breaking Me - HUGEL Remix,Breaking Me (HUGEL Remix),Topic,61,0.85,0.585,10,-5.229,0,0.0488,0.0101,7.79e-06,0.261,0.77,126.0,171905,4
1lA7jxtCfl44wlbQd8P3Wq,Turn Me On,Turn Me On,ConKi,52,0.635,0.904,7,-5.598,0,0.076,0.00645,1.92e-06,0.405,0.191,125.039,126720,4
20McUFi8KCIVdNDLrkTDuZ,Goosebumps,Goosebumps,HVME,70,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,163208,4
5072hCBK3Z15qRnTEzd8fy,Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,Titanium (feat. Sia) [David Guetta & MORTEN Future Rave Remix],David Guetta,66,0.448,0.911,10,-7.121,1,0.0491,0.00107,0.555,0.37,0.0305,126.021,211429,4
