track_id,name,album,artist_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7129iqBafaphfc3WPCGC0L,7 Years,Lukas Graham (Blue Album),Lukas Graham,52,danish pop,0.742,0.479,10,-5.83,1,0.0551,0.29,0.0,0.391,0.346,119.951,237300,4
5qaaQp6KvkEdB2q7SKQAcJ,ErruDumEllaHvad,ErruDumEllaHvad,ICEKIID,54,danish hip hop,0.922,0.708,8,-5.618,0,0.262,0.281,0.000168,0.279,0.732,104.055,148942,4
1UGQZb5PNV9GorC9NVmNYs,Når Et Lys Slukkes,3: Fresh-Fri-Fly,Nik & Jay,39,danish pop,0.63,0.8,2,-4.625,1,0.0794,0.352,0.0,0.177,0.794,74.981,314267,4
0JFhEbH1Ij9BIrO800IEIK,Orange,Orange,Tobias Rahim,50,danish pop,0.681,0.493,9,-7.218,1,0.0311,0.524,0.0,0.0689,0.616,95.736,191093,4
1NgeW6kFhdqAvEKgKYhf1s,Paris,Paris,Lord Siva,45,danish hip hop,0.818,0.533,6,-6.05,0,0.0428,0.151,6.66e-06,0.133,0.774,114.97,170645,4
6qugZRudJra2c5JIvHO7Xn,Happy Home,Lukas Graham (Blue Album),Lukas Graham,42,danish pop,0.724,0.426,3,-5.218,0,0.0436,0.56,0.0,0.0918,0.415,128.061,217378,4
3LyOoM4J9QzrD0GbPuzEyz,Ung Kniv,Solkongen,The Minds Of 99,50,danish alternative rock,0.472,0.966,9,-3.627,1,0.0924,0.00239,3.12e-06,0.83,0.384,145.987,231583,4
5fS3B6lae85C2rA8jPfoE2,DRØM MIG VÆK,DRØM MIG VÆK,D1MA,57,danish hip hop,0.796,0.602,4,-8.635,0,0.135,0.134,2.83e-06,0.0829,0.409,133.018,163534,4
1UTeDUAusifkVapsAZxbSc,Tak For Sidst,MELLEM HIMMEL & JORD,Gobs,58,danish hip hop,0.813,0.616,7,-4.5,1,0.218,0.0868,0.0,0.115,0.693,134.948,155511,4
0qA2qykpcGdVl3tiiYum4g,Blå Himmel (feat. Hans Philip),BO4L,KESI,57,danish hip hop,0.743,0.529,3,-5.292,1,0.107,0.2,0.0,0.244,0.505,102.027,228590,4
5x6ggDM895CRGHxS3dwRHz,Solhverv,Solhverv,Lord Siva,51,danish hip hop,0.81,0.674,2,-6.251,0,0.0446,0.00792,1.45e-05,0.0527,0.834,139.949,213125,4
5xbVoqGASUuEV2mp5LXrRz,En Dag Tilbage,Nik & Jay 2,Nik & Jay,52,danish pop,0.748,0.492,10,-6.264,0,0.0449,0.522,5.11e-06,0.163,0.349,93.009,267440,4
3ZsAluSu04Fd3LVZzLtv2B,Vi 1,Vi 1,Tobias Rahim,53,danish pop,0.685,0.828,0,-5.441,1,0.0391,0.138,0.0,0.171,0.411,129.994,169600,4
6mFCdvzQMgTlqJfY5NRIia,Look Into My Eyes,Closer Than Veins - Deluxe Edition,Outlandish,34,Not categorized,0.719,0.725,6,-5.69,1,0.108,0.103,0.0,0.389,0.818,95.969,243347,4
3neYAjvKDOfvBUpIgReOkC,MOONLIGHT,EV1GT&ALT1D,D1MA,59,danish hip hop,0.714,0.492,8,-8.252,0,0.209,0.566,0.0,0.325,0.557,118.987,197043,4
3D0VPp6nCN9dsyUjFv2BvP,Hurtige Hænder - Acoustic Version - Moyo Live P3,Hurtige Hænder (Acoustic Version - Moyo Live P3),The Minds Of 99,55,danish alternative rock,0.419,0.259,7,-14.836,1,0.0359,0.459,0.0,0.711,0.294,126.891,251633,4
0T8dNUoyjJHM2zDgIPK83L,Pregnant,Slush Hours,Phlake,47,danish pop,0.498,0.623,5,-5.136,0,0.308,0.401,0.0,0.092,0.694,79.154,220933,4
4EKSw9Jzun2WFvjm2HU58X,Flyvende Faduma,Når sjælen kaster op,Tobias Rahim,56,danish pop,0.686,0.779,7,-5.907,1,0.0316,0.0636,5.42e-06,0.383,0.557,75.0,198659,4
5dNSfOZb6AlEF0Xg6C970o,Uden Dig,Dansktop,Ukendt Kunstner,62,danish hip hop,0.732,0.737,1,-7.234,0,0.115,0.31,0.000223,0.0906,0.88,163.084,191342,4
103dSvGgdVisdi7OAqdihj,"Det´ kun vigtigt, hvad det er",Jeg venter i lyset,Guldimund,58,danish indie,0.547,0.393,4,-7.697,0,0.03,0.428,0.0,0.132,0.328,120.806,199930,4
35C2waltlc5ymcJuBayTDg,Solkongen,Solkongen,The Minds Of 99,49,danish alternative rock,0.374,0.427,2,-7.552,1,0.0285,0.772,0.000198,0.121,0.257,140.428,194451,3
2sxqIvqefGLMcmldv2lFx9,Kommer igen,Kommer Igen,Nik & Jay,46,danish pop,0.701,0.637,9,-6.733,0,0.0283,0.26,0.0,0.0994,0.444,115.015,221000,4
3aQzeklWllLWZSH4xk7Udj,I KNOW,I KNOW,D1MA,63,danish hip hop,0.844,0.674,4,-6.09,0,0.091,0.039,0.0,0.1,0.319,113.973,189474,4
0pOcQ4GVseflTKsy1c2dfX,Du Kan Gøre Hvad Du Vil - Radio Version,Du Kan Gøre Hvad Du Vil,Christian Brøns,40,danish pop,0.522,0.779,9,-5.862,0,0.0287,0.236,0.0,0.34,0.518,88.989,220333,4
2rfl7SRwfel3gNhXBmL60u,Verden Vågner (feat. Saveus),Suave World,Gilli,58,danish hip hop,0.565,0.764,5,-5.452,0,0.306,0.371,0.00192,0.123,0.734,94.686,156137,4
33frkbGSt6bbfj2Nqo9i1p,Smuk som et stjerneskud,Wings Of Love,Brødrene Olsen,46,classic danish pop,0.738,0.824,2,-5.238,1,0.0536,0.258,4.23e-05,0.286,0.795,104.032,183493,4
5PIiJ3kodpPftCM6alodDE,All In (feat. Lamin),All In (feat. Lamin),Blæst,51,danish pop,0.67,0.727,1,-5.311,1,0.323,0.239,0.0,0.358,0.695,101.709,176430,4
1mLiW0DfcGvUZqaNZo4jPd,Laugh 'n' a 1/2 - 2009 - Remaster,Riskin' It All (2009 - Remastered),D-A-D,52,danish alternative rock,0.596,0.657,5,-7.021,0,0.0307,0.643,0.0,0.127,0.743,129.871,212160,4
6s7taLMkFDBlqQ1YWHqloy,Kongens Have,Ingen Andre,TopGunn,52,danish hip hop,0.688,0.723,0,-6.657,0,0.0351,0.0102,0.0,0.236,0.355,104.051,214155,4
