,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,3XqM8hLCEYlbnFjoWwqtFv,Angel Numbers / Ten Toes,11:11,Chris Brown,82,0.406,0.192,0.5,0.0,0.175,-8.452,0.0501,157.984,4,0.0905,"['r&b', 'rap']"
1,5AeEH69Mp87Zx3wNmyeAK0,Bruce Lee,11:11 (Deluxe),Chris Brown,71,0.457,0.575,0.594,0.0,0.128,-6.378,0.0571,113.393,10,0.463,"['r&b', 'rap']"
2,3NZJlJemX3mzjf56MqC5ML,Forever,Forever,Chris Brown,78,0.672,0.0368,0.82,0.000188,0.184,-4.456,0.0459,120.005,11,0.438,"['r&b', 'rap']"
3,5IgjP7X4th6nMNDh4akUHb,Under The Influence,Indigo (Extended),Chris Brown,85,0.755,0.0186,0.562,0.000231,0.18,-8.947,0.0355,116.931,9,0.368,"['r&b', 'rap']"
4,4i1wik8DtU7eqSEWRsTHuP,Delusional,11:11 (Deluxe),Chris Brown,70,0.625,0.173,0.682,0.0,0.359,-6.697,0.0537,158.104,8,0.562,"['r&b', 'rap']"
5,6ILwPf7MxIMsD7QzKFkvDg,THU-LA,THU-LA,Ser Master,26,0.573,0.0513,0.769,0.0,0.584,-5.892,0.116,139.972,10,0.692,[]
6,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Indigo,Chris Brown,77,0.696,0.123,0.454,0.0,0.155,-6.756,0.153,92.928,1,0.136,"['r&b', 'rap']"
7,2BEcap3xJtmiPaHKyfQi4e,Nostálgico,Nostálgico,Rvssian,73,0.734,0.166,0.846,1.74e-06,0.235,-3.425,0.0489,98.026,9,0.604,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
8,6Dq8FZrvx9S28iyaKSwn9x,"Jealous (feat. Chris Brown, Lil Wayne & Big Sean)",Father Of Asahd,DJ Khaled,53,0.614,0.0133,0.685,0.0,0.313,-3.684,0.147,94.9,10,0.61,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
9,6d4nagVvGdvMEq1Ngg5PPb,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),Breezy (Deluxe),Chris Brown,41,0.463,0.0358,0.596,0.0,0.107,-8.609,0.134,84.281,6,0.289,"['r&b', 'rap']"
10,5eoS4VveghXRRxT49Yc1Sn,Offro Io,Offro Io,Ser Master,24,0.591,0.513,0.534,0.0,0.107,-11.205,0.0582,131.711,11,0.265,[]
11,53Ng9b4xU3NbvyajMGM2pj,C.A.B. (Catch A Body) (feat. Fivio Foreign),Breezy (Deluxe),Chris Brown,43,0.654,0.0311,0.615,0.00125,0.191,-8.157,0.0758,148.005,10,0.307,"['r&b', 'rap']"
12,0ZanxzL5MCOURk9VVxGokB,Sex Memories (feat. Ella Mai),Breezy (Deluxe),Chris Brown,41,0.611,0.00707,0.728,0.00394,0.0902,-6.904,0.0429,159.982,10,0.722,"['r&b', 'rap']"
13,0PwC30wtoEQ1nxoG6DZoFO,Psychic,Breezy (Deluxe),Chris Brown,43,0.751,0.0391,0.583,0.0,0.116,-7.41,0.0529,96.52,1,0.476,"['r&b', 'rap']"
14,19j1v7F1N8ec79JCuqNK0z,On Some New Shit,Breezy (Deluxe),Chris Brown,38,0.613,0.00998,0.688,0.25,0.371,-7.237,0.0295,147.852,1,0.495,"['r&b', 'rap']"
15,3lMfuXtx3M6QJzspvt8mF6,Luckiest Man,Breezy (Deluxe),Chris Brown,37,0.535,0.109,0.459,0.0,0.116,-9.948,0.0334,144.158,7,0.286,"['r&b', 'rap']"
16,5az1tROvlEb7Li1ghDispQ,Talm' Bout,Breezy (Deluxe),Chris Brown,44,0.543,0.148,0.593,0.0,0.113,-6.974,0.0673,159.982,1,0.755,"['r&b', 'rap']"
17,4U94pbUhXrzFNVcyrFeMso,Nobody Has To Know (feat. Davido),Breezy (Deluxe),Chris Brown,50,0.646,0.0288,0.584,0.0,0.0572,-7.111,0.0771,99.723,8,0.37,"['r&b', 'rap']"
18,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,Slime & B,Chris Brown,74,0.755,0.316,0.578,0.0,0.25,-8.932,0.145,94.148,0,0.581,"['r&b', 'rap']"
19,7r0W7nDEtaeZCjB4KnF6l8,I Got Time (feat. Shad Da God),Slime & B,Chris Brown,44,0.829,0.0299,0.467,0.0,0.105,-9.134,0.104,132.984,9,0.483,"['r&b', 'rap']"
20,3SBsSCGkiKH2PhFeDE3j0l,Indigo,Indigo (Extended),Chris Brown,47,0.596,0.331,0.754,0.0,0.247,-4.791,0.127,151.921,3,0.533,"['r&b', 'rap']"
21,5a2cLbHx0RXkBqyMiWp0N5,Temporary Lover (feat. Lil Jon),Indigo (Extended),Chris Brown,38,0.652,0.00586,0.66,0.0,0.623,-5.417,0.0349,105.053,7,0.574,"['r&b', 'rap']"
22,7xMKLSSbNVh754wBFq6BqT,Heat (feat. Gunna),Indigo (Extended),Chris Brown,46,0.619,0.0614,0.613,0.0,0.117,-5.83,0.0796,82.419,0,0.483,"['r&b', 'rap']"
23,3SURw9jAbjvYqVJZ4ZRaWs,Juice,Indigo (Extended),Chris Brown,37,0.577,0.0344,0.696,0.0,0.11,-4.826,0.165,109.9,2,0.353,"['r&b', 'rap']"
24,75AzpK8frf1hggKXRonCXG,Lurkin' (feat. Tory Lanez),Indigo (Extended),Chris Brown,41,0.474,0.0924,0.659,0.0,0.302,-5.389,0.152,84.777,5,0.269,"['r&b', 'rap']"
25,0BK9AhqBOiVt0FfhMhJ0N9,Undecided,Indigo (Extended),Chris Brown,43,0.407,0.288,0.612,0.0,0.198,-4.387,0.13,96.943,5,0.488,"['r&b', 'rap']"
26,4PxWkNPSN62nCIwKvtsmda,Hands Up,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,Chris Brown,42,0.565,0.369,0.73,0.0,0.0773,-5.941,0.127,102.792,11,0.526,"['r&b', 'rap']"
27,4bQcSdfi8A87j02L14GDE5,Questions,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,Chris Brown,37,0.614,0.00543,0.598,0.0,0.1,-6.335,0.0561,105.803,10,0.565,"['r&b', 'rap']"
28,5bVRLMkL2ZMFnx0spcqhFk,Hope You Do,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,Chris Brown,36,0.67,0.0366,0.531,0.0,0.132,-7.294,0.0629,100.006,11,0.186,"['r&b', 'rap']"
29,5yZiJy2fGXN2LnPz6paRYC,Party (feat. Usher & Gucci Mane),Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,Chris Brown,42,0.762,0.0556,0.576,0.0,0.0866,-4.951,0.0829,142.096,1,0.316,"['r&b', 'rap']"
