,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,91,0.429,0.554,0.453,2e-06,0.102,-7.746,0.0459,77.639,0,0.155,['classic oklahoma country']
1,0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,Gettin' Old,Luke Combs,86,0.708,0.0189,0.731,4.47e-06,0.129,-4.872,0.0345,116.975,3,0.379,"['contemporary country', 'country']"
2,5ya0TmUQw2wHMkq36rPsnd,World on Fire,NATE SMITH (DELUXE),Nate Smith,76,0.461,0.000219,0.887,0.0,0.104,-4.871,0.0429,95.964,11,0.411,"['contemporary country', 'modern country pop']"
3,6vsa5VDsIaWC8oJnowU65l,This Town's Been Too Good To Us,This Town's Been Too Good To Us,Dylan Scott,73,0.696,0.0603,0.555,0.0,0.175,-7.035,0.0353,104.989,11,0.577,"['contemporary country', 'country road', 'modern country rock']"
4,02FAxAwzApe6pAqfAL3dLr,All I Need Is You,All I Need Is You,Chris Janson,51,0.606,0.0157,0.757,0.000205,0.343,-6.206,0.0302,103.051,1,0.588,"['contemporary country', 'country', 'country road', 'modern country rock']"
5,6RWCvgNCEqXuVZYnDTPDEh,Wildflowers and Wild Horses,Bell Bottom Country,Lainey Wilson,65,0.431,0.403,0.628,8.14e-06,0.272,-6.259,0.0384,118.016,10,0.277,"['contemporary country', 'modern country pop']"
6,73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),One Thing At A Time,Morgan Wallen,80,0.501,0.125,0.769,0.000184,0.12,-5.005,0.0298,148.006,4,0.451,['contemporary country']
7,4HeViKsdSOLkOvwfcRVkK8,Mamaw's House,20 Number Ones (Bonus Version),Thomas Rhett,68,0.559,0.0177,0.704,0.0,0.0821,-7.686,0.0338,89.985,2,0.422,"['contemporary country', 'country', 'country road', 'modern country rock']"
8,0Jagf5iAYYiWAs0BEoWbWZ,Take Her Home,Take Her Home,Kenny Chesney,65,0.572,0.184,0.825,0.0,0.184,-5.428,0.106,149.012,6,0.518,"['contemporary country', 'country', 'country road', 'modern country rock']"
9,5DQU4Fmdx7Hs7pwtcZMSTK,The Painter,Leather,Cody Johnson,75,0.512,0.0423,0.709,4.3e-06,0.107,-5.767,0.0327,97.971,2,0.261,"['classic texas country', 'contemporary country', 'modern country pop']"
10,5DIBVDJOHh7djepAjKHWCO,Heart Like A Truck,Bell Bottom Country,Lainey Wilson,74,0.587,0.148,0.632,1.01e-05,0.158,-5.416,0.0311,139.974,9,0.392,"['contemporary country', 'modern country pop']"
11,0GdZqKPBrvkpo7mk2OyHtf,Back Then Right Now,Back Then Right Now,Tyler Hubbard,71,0.659,0.0164,0.865,0.0,0.134,-4.416,0.0541,126.998,7,0.761,"['contemporary country', 'modern country pop']"
12,6mwQaKWGylEYviPj2VzZSy,Push Ahead,Push Ahead,Jakes and No Bear,18,0.666,0.00386,0.829,0.0,0.234,-6.958,0.034,133.964,0,0.805,[]
13,3RMNNTzGv6qtLFBpZizYOb,Mind On You,George Birge: Mind On You,George Birge,55,0.576,0.143,0.807,0.0,0.255,-4.02,0.0266,130.093,1,0.566,"['modern country pop', 'texas country']"
14,0bILU0UiNDmA5Ff6whhb2R,Religiously,Religiously. The Album.,Bailey Zimmerman,80,0.57,0.426,0.67,0.0,0.108,-6.519,0.0274,140.924,1,0.593,"['contemporary country', 'modern country pop']"
15,42lqBjPYlmL1EXpMDXvhSN,Somebody’s Problem,Dangerous: The Double Album,Morgan Wallen,73,0.658,0.657,0.538,0.0,0.123,-7.676,0.0289,136.967,5,0.62,['contemporary country']
16,3sYBFUXTv0STUoUINx9Qe8,Watermelon Moonshine,Bell Bottom Country,Lainey Wilson,76,0.739,0.47,0.413,2.51e-05,0.131,-6.709,0.0282,139.921,1,0.649,"['contemporary country', 'modern country pop']"
17,1yj1ZztSGITJ5Nf4mfH92c,Spin You Around,Stand Alone - EP,Morgan Wallen,70,0.517,0.00147,0.877,0.0,0.208,-3.621,0.0297,150.004,4,0.616,['contemporary country']
18,5HGibWoxnkYSkl6mHmAlOE,That's My Kind Of Night,Crash My Party,Luke Bryan,73,0.662,0.0597,0.749,0.0,0.105,-2.891,0.048,109.995,7,0.895,"['contemporary country', 'country', 'country road', 'modern country rock']"
19,33hQJTNI0T2FHVtku3smJf,Wreckage,Wreckage,Nate Smith,59,0.563,0.0452,0.575,0.0,0.101,-5.072,0.0266,145.103,10,0.162,"['contemporary country', 'modern country pop']"
20,5AihIu9yF3flkw1jFMyfwW,Human,Human The Double Album,Cody Johnson,68,0.4,0.176,0.647,5.79e-05,0.11,-7.279,0.0337,84.08,2,0.274,"['classic texas country', 'contemporary country', 'modern country pop']"
21,3Qbjo8ezZdQg1NfPcCo4UV,Note to Self,Note To Self,Randy Houser,68,0.613,0.11,0.626,0.000914,0.112,-6.486,0.0332,84.984,1,0.188,"['contemporary country', 'country', 'country road']"
22,39OclE5hZematADrdfaWvE,Next Thing You Know,Bluebird Days,Jordan Davis,77,0.549,0.682,0.608,0.0,0.0966,-8.253,0.0481,78.534,5,0.399,['contemporary country']
23,03fT3OHB9KyMtGMt2zwqCT,Play It Again,Crash My Party,Luke Bryan,76,0.506,0.0955,0.886,0.0,0.0734,-3.224,0.0655,143.938,11,0.595,"['contemporary country', 'country', 'country road', 'modern country rock']"
