,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,45YtsGktecYqg2o9yeFJ5o,CHAMPIONS LEAGUE,OCHO,Merro8,18,0.807,0.106,0.852,5.91e-06,0.0432,-4.475,0.116,145.052,6,0.956,['danish hip hop']
1,5LAsl3k0Vas49Pnoj9GJr3,Chanel Freestyle,Chanel Freestyle,Anton Westerlin,63,0.662,0.134,0.424,0.0,0.165,-9.905,0.587,128.037,5,0.535,[]
2,7ARkCctaMpssbrBp8J4w8C,Skrue Løs,Skrue Løs,Omar,11,0.81,0.1,0.628,5.88e-06,0.244,-7.662,0.109,152.16,2,0.63,"['danish hip hop', 'danish pop']"
3,0CToGTNJzK0JxMJM6otPON,Indre Stemme,Indre Stemme,Magzim,57,0.713,0.0397,0.832,3.24e-06,0.294,-6.811,0.254,137.956,6,0.512,['danish hip hop']
4,2wPGyAND3tFUfR4weYWmuz,OCHO,OCHO,Merro8,52,0.816,0.233,0.691,0.0,0.184,-6.681,0.167,134.986,6,0.665,['danish hip hop']
5,1eEc7r9BeHoiE9XYjLRoSx,Et Par Timer,Et Par Timer,Larry,49,0.686,0.0417,0.814,0.00277,0.137,-5.832,0.045,82.529,6,0.339,['danish hip hop']
6,5jWfU6LMjuFqWUK6gXGixD,Helt Sikker,Helt Sikker,Baloosh,57,0.722,0.0958,0.742,0.0,0.344,-5.891,0.327,140.417,7,0.299,"['danish hip hop', 'danish pop']"
7,2aehSqz7mLvJ4Sp7UtpN5m,Året Ud (feat. KESI & Noah Carter),Året Ud (feat. KESI & Noah Carter),Kimbo,55,0.735,0.13,0.582,0.0,0.127,-5.003,0.137,97.122,6,0.523,['danish hip hop']
8,7J1DgyE3mGoazGOHqZ2Kh2,Black Ops,Black Ops,Merro8,52,0.844,0.12,0.671,0.0,0.103,-5.835,0.0701,132.053,5,0.765,['danish hip hop']
9,0GSoForoOEUELr6W30bDpp,Balaclava,Balaclava,ICEKIID,58,0.919,0.0129,0.559,5.23e-06,0.0601,-6.889,0.0995,120.02,2,0.796,"['danish hip hop', 'danish pop']"
10,0Z6qMxDDq3JL3Zqns9ANVM,Passport,Passport,PAY,53,0.861,0.15,0.873,1.59e-05,0.111,-4.494,0.167,130.01,8,0.543,['danish hip hop']
11,7JfLdwhVW1Ul6CF5KFeyPe,Sprite & Vodka (feat. Gilli & KESI),Noahs Ark,Noah Carter,62,0.514,0.472,0.668,0.0,0.104,-5.735,0.47,200.758,5,0.663,"['danish hip hop', 'danish pop']"
12,03dQMcWzjly8qC5Yd5hblh,Poison Ivy,Poison Ivy,Larry,50,0.822,0.0984,0.688,0.0,0.0929,-5.986,0.145,143.945,5,0.946,['danish hip hop']
13,1erc6T5ojSwOiuNc7i2AFA,OT,OT,Lamin,62,0.721,0.0895,0.593,0.0,0.163,-5.557,0.356,115.201,0,0.467,"['danish hip hop', 'danish pop']"
14,5HPCoFIPcckTMWF0wc6ncG,Svaneflex,Svaneflex,Sondergaard,54,0.661,0.278,0.624,0.0,0.194,-6.955,0.122,96.948,4,0.503,[]
15,3VWuGvgAaYMB6bSNevfozD,555 (feat. KESI),Kiko Club,Gilli,24,0.529,0.0258,0.846,0.0,0.303,-4.302,0.317,189.61,1,0.682,"['danish hip hop', 'danish pop']"
16,50kvRbk8GLtPtgxoMeasSK,"Lad Mig Lande (feat. Gilli, KESI, Kimbo & Sivas)",Noahs Ark,Noah Carter,54,0.608,0.0115,0.71,0.0,0.355,-5.994,0.105,165.028,4,0.537,"['danish hip hop', 'danish pop']"
17,0dH7vsh51sKniPT5H2kSCW,Hvad Vi Vil,Hvad Vi Vil,Benny Jamz,48,0.642,0.413,0.746,0.0,0.195,-4.795,0.0868,99.805,6,0.523,"['danish hip hop', 'danish pop']"
18,32gKenhuc62phw2Uyxyinl,CARTIER LINSER,AFRO DANSKER II,ICEKIID,56,0.873,0.0665,0.849,0.0,0.334,-3.775,0.104,122.981,2,0.798,"['danish hip hop', 'danish pop']"
19,3nDcLRg4XZW1ubYHqS7gGX,Følelser (feat. Jamaika),En dag giver alt nok mening… (DELUXE),Carmon,52,0.615,0.548,0.634,0.0,0.263,-7.854,0.285,145.061,11,0.673,['danish hip hop']
20,2nnuovjlAAfkGRTPW1NJOb,Gennem Dit Hjerte (feat. Hans Philip),Når Man Taler Om Solen,MAS,54,0.476,0.014,0.564,0.0,0.181,-6.288,0.348,81.954,7,0.477,[]
