,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,0F13K9dwYH2zpTWiR8d628,Go2DaMoon (feat. Kanye West),Whole Lotta Red,Playboi Carti,68,0.693,0.204,0.434,0.0,0.277,-8.786,0.385,147.066,4,0.542,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
1,1Bg2CNZw6S4e9cGWPmi0uI,Place,Whole Lotta Red,Playboi Carti,66,0.891,0.000674,0.628,0.0,0.119,-6.35,0.105,131.06,1,0.04,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
2,08dz3ygXyFur6bL7Au8u8J,Over,Whole Lotta Red,Playboi Carti,69,0.622,0.044,0.946,0.0,0.0838,-3.593,0.0534,130.07,7,0.336,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
3,1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,Whole Lotta Red,Playboi Carti,78,0.684,0.00534,0.693,0.0,0.506,-6.651,0.0339,134.988,4,0.108,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
4,7rbalRuIx7sIXFHYTphE0n,Die4Guy,Whole Lotta Red,Playboi Carti,62,0.759,0.00471,0.67,0.0,0.0889,-5.188,0.0589,148.938,1,0.418,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
5,4IO2X2YoXoUMv0M2rwomLC,Long Time - Intro,Die Lit,Playboi Carti,73,0.472,0.283,0.861,0.0,0.83,-3.966,0.0447,144.077,4,0.358,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
6,3L0IKstjUgDFVQAbQIRZRv,R.I.P.,Die Lit,Playboi Carti,75,0.725,0.0119,0.725,0.0,0.086,-6.067,0.159,140.003,8,0.515,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
7,1JgkiUg9mSXSwcb5Gbi4Ur,Lean 4 Real (feat. Skepta),Die Lit,Playboi Carti,68,0.754,0.0302,0.775,0.0,0.362,-5.077,0.066,76.01,7,0.159,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
8,0syXbGoFZbTMXm8hGCEvW0,Old Money,Die Lit,Playboi Carti,62,0.716,0.0271,0.619,0.0,0.342,-10.227,0.339,162.958,2,0.584,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
9,3K6U7TamNyVSWcFH8pCQHX,Love Hurts (feat. Travis Scott),Die Lit,Playboi Carti,67,0.724,0.0315,0.45,1.42e-05,0.111,-5.763,0.0497,140.978,4,0.464,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
10,2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),Die Lit,Playboi Carti,76,0.673,0.188,0.649,0.0,0.122,-8.433,0.196,153.075,1,0.47,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
11,475jSz0H6U3duJyNiDS0tT,Right Now (feat. Pi'erre Bourne),Die Lit,Playboi Carti,63,0.687,0.138,0.602,0.0,0.203,-5.005,0.066,78.487,6,0.309,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
12,5wPyd3IQAZft1vmxoIqGrU,Home (KOD),Die Lit,Playboi Carti,65,0.722,0.316,0.686,0.0,0.352,-6.173,0.24,77.015,7,0.435,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
13,1s9DTymg5UQrdorZf43JQm,Fell In Luv (feat. Bryson Tiller),Die Lit,Playboi Carti,75,0.657,0.0273,0.668,0.0,0.32,-6.208,0.136,162.997,2,0.227,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
14,500l6Cwe40hkPqS7Sf7ufY,Foreign,Die Lit,Playboi Carti,73,0.762,0.0906,0.705,0.0,0.17,-5.195,0.164,122.955,6,0.264,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
15,5nayhWICkQGMTkisxVMbRw,FlatBed Freestyle,Die Lit,Playboi Carti,67,0.755,0.0967,0.552,0.0,0.158,-5.604,0.288,153.157,9,0.402,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
16,7AtBtwrKhz94hYXgGYyG58,Middle Of The Summer (feat. Red Coldhearted),Die Lit,Playboi Carti,61,0.64,0.0119,0.674,0.0,0.0747,-6.442,0.237,136.869,8,0.459,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
17,5O9zs6G6RcB6yP1OKwnwiM,Choppa Won't Miss (feat. Young Thug),Die Lit,Playboi Carti,62,0.857,0.0182,0.661,0.0,0.115,-6.544,0.319,163.077,0,0.612,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
18,45Ln3F9PRPYTXBcMFkZMzS,R.I.P. Fredo (feat. Young Nudy) - Notice Me,Die Lit,Playboi Carti,67,0.912,0.102,0.755,0.0,0.179,-5.394,0.141,140.051,2,0.625,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
19,7HsvTUJcXRQVK6QuALkAvW,Top (feat. Pi'erre Bourne),Die Lit,Playboi Carti,58,0.956,0.00906,0.517,0.0,0.113,-5.522,0.0648,130.004,1,0.162,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
