,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,5dS2dvXVPe7AR6UwBpnomW,Make It to Heaven (with Raye),Make It To Heaven (with Raye),David Guetta,52,0.587,0.0936,0.92,0.073,0.185,-4.697,0.0914,126.035,0,0.35,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
1,1sh6lL6cmlcwhqZKGiKBua,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,I Could Be The One [Avicii vs Nicky Romero],Avicii,71,0.509,0.332,0.79,6.67e-05,0.316,-3.782,0.0374,127.946,6,0.638,"['dance pop', 'edm', 'pop', 'pop dance']"
2,4RgDgaohkG08f630ZT9QKc,Body - Dzeko Remix,Body (Dzeko Remix),Loud Luxury,53,0.653,0.00812,0.946,0.000207,0.126,-3.757,0.0556,125.966,5,0.653,"['edm', 'pop dance', 'uk dance']"
3,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,More Than You Know,Axwell /\ Ingrosso,81,0.646,0.0275,0.741,0.0,0.312,-4.973,0.034,123.077,5,0.571,"['edm', 'pop dance', 'progressive electro house']"
4,5LLj8FOkOpBm1zSEchjVlS,Mad For It (feat. Casso),Mad For It (feat. Casso),TOOMANYLEFTHANDS,21,0.702,0.0546,0.862,4.47e-05,0.0995,-3.941,0.0333,108.006,1,0.711,"['danish electronic', 'scandipop']"
5,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),All Around The World (La La La),R3HAB,75,0.733,0.479,0.859,0.0645,0.105,-5.03,0.033,124.948,9,0.52,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']"
6,4J7CKHCF3mdL4diUsmW8lq,Under Control (feat. Hurts),Motion,Calvin Harris,75,0.544,0.129,0.915,0.000914,0.115,-3.405,0.0841,126.094,8,0.51,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
7,6S1kRI4cVysywBHMPRhRd1,Lighters Up (feat. Joey Moe & Jinks),Fuldmåne 2.0,Joey Moe,30,0.711,0.00786,0.85,0.00285,0.333,-8.454,0.123,129.99,0,0.512,['danish electronic']
8,7CHi4DtfK4heMlQaudCuHK,Lose Control,Lose Control,MEDUZA,72,0.598,0.129,0.527,0.0,0.14,-8.659,0.0415,123.943,10,0.53,"['edm', 'pop dance', 'pop house', 'uk dance']"
9,0sNu1RdkrTUg7qmyOZYLgw,Don't Let Me Down - W&W Remix,Don't Let Me Down (Remixes),The Chainsmokers,0,0.435,0.0364,0.903,0.00241,0.115,-4.638,0.14,159.984,8,0.446,['pop']
