,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,95,0.504,0.502,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,11,0.281,['pop']
1,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,95,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,9,0.564,['pop']
2,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,85,0.599,0.0486,0.651,0.0,0.126,-7.343,0.035,100.001,0,0.153,['pop']
3,5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Taylor Swift,77,0.695,0.0577,0.768,0.0,0.0426,-4.883,0.0344,123.054,6,0.813,['pop']
4,6ADDIJxxqzM9LMpm78yzQG,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift,63,0.663,0.701,0.321,0.000598,0.107,-13.527,0.0409,110.021,9,0.153,['pop']
5,3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,81,0.52,0.016,0.553,0.0,0.165,-3.546,0.0269,81.949,8,0.227,['pop']
6,3RauEVgRgj1IuWdJ9fDs70,The Man,Lover,Taylor Swift,83,0.777,0.0767,0.658,0.0,0.0901,-5.191,0.054,110.048,0,0.633,['pop']
7,2F3N9tdombb64aW6VtZOdo,Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,88,0.541,0.56,0.366,1e-06,0.0946,-10.412,0.0748,159.707,11,0.168,['pop']
8,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,reputation,Taylor Swift,83,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,128.07,9,0.506,['pop']
9,7G0gBu6nLdhFDPRLc0HdDG,Mine (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,76,0.647,0.00314,0.793,1.93e-06,0.174,-2.903,0.0363,121.101,7,0.5,['pop']
10,3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,85,0.604,0.0483,0.428,0.0,0.126,-8.441,0.0255,110.259,0,0.292,['pop']
11,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,...Ready For It?,Taylor Swift,0,0.616,0.0573,0.77,0.0,0.159,-6.5,0.142,160.049,2,0.412,['pop']
12,4N60XfcTE1ysLZGbYgnYXq,Mean,Speak Now (Deluxe Edition),Taylor Swift,52,0.568,0.452,0.761,0.0,0.217,-3.987,0.0459,163.974,4,0.789,['pop']
13,580t2NTEMOuCHV1sN3uhyD,Blank Space,1989,Taylor Swift,0,0.752,0.085,0.678,1.64e-06,0.13,-5.421,0.0646,96.009,5,0.583,['pop']
14,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,88,0.359,0.492,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,7,0.453,['pop']
15,79uDOz0zuuWS7HWxzMmTa2,Back To December (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,77,0.486,0.00705,0.635,0.0,0.119,-3.994,0.0278,141.868,2,0.235,['pop']
16,5oqDgw5VGBln5dSIOPWyBq,Karma,Midnights (3am Edition),Taylor Swift,69,0.64,0.062,0.619,0.0,0.475,-7.108,0.065,90.008,8,0.121,['pop']
17,3Uo7WG0vmLQ07WB4BDwy7D,willow,evermore,Taylor Swift,71,0.392,0.835,0.579,0.00179,0.145,-9.195,0.164,80.961,7,0.549,['pop']
18,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,Taylor Swift,87,0.633,0.121,0.648,2.62e-06,0.161,-6.645,0.062,96.888,4,0.49,['pop']
19,3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),Love Story (Taylor’s Version),Taylor Swift,80,0.626,0.135,0.79,3.97e-06,0.0989,-4.302,0.0311,119.082,2,0.416,['pop']
20,6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,Lover,Taylor Swift,81,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,85.026,2,0.714,['pop']
21,0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,73,0.505,0.000795,0.893,0.0,0.178,-3.013,0.0771,145.913,11,0.659,['pop']
22,5WfhXulggG0c6WoVeMPA8N,Shake It Off,1989,Taylor Swift,0,0.648,0.0561,0.785,0.0,0.148,-5.414,0.165,160.02,7,0.943,['pop']
23,12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,Lover,Taylor Swift,76,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,102.012,0,0.248,['pop']
24,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Midnights,Taylor Swift,79,0.735,0.23,0.449,0.00126,0.132,-10.56,0.0883,97.05,7,0.0955,['pop']
25,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,reputation,Taylor Swift,86,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,9,0.193,['pop']
26,5YqltLsjdqFtvqE7Nrysvs,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,77,0.567,0.0317,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,7,0.716,['pop']
27,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,82,0.632,0.0623,0.773,0.0,0.0885,-4.856,0.0346,130.033,6,0.474,['pop']
28,5yeuXkukVGuix3vmLu2BPJ,Vigilante Shit,Midnights (3am Edition),Taylor Swift,63,0.872,0.166,0.267,2.18e-05,0.123,-10.764,0.387,79.964,4,0.168,['pop']
29,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,82,0.631,0.274,0.518,0.0,0.088,-8.771,0.0303,93.023,0,0.205,['pop']
30,1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,76,0.583,0.0374,0.67,0.0001,0.126,-7.289,0.0646,140.061,8,0.498,['pop']
31,22bPsP2jCgbLUvh82U0Z3M,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,77,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,161.032,5,0.472,['pop']
32,4d1CG5ei1E2vGbvmgf5KKv,This Love (Taylor’s Version),This Love (Taylor’s Version),Taylor Swift,68,0.47,0.302,0.494,0.0,0.0672,-8.672,0.0349,144.039,4,0.0524,['pop']
33,3MytWN8L7shNYzGl4tAKRp,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),Taylor Swift,73,0.605,0.0241,0.769,0.0,0.0936,-2.413,0.032,114.921,5,0.366,['pop']
34,56hioFjQ0DXrdn04hZcFgG,Mastermind,Midnights (3am Edition),Taylor Swift,68,0.66,0.565,0.343,0.00134,0.0922,-14.132,0.14,125.96,4,0.137,['pop']
35,77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,79,0.569,0.0122,0.741,0.0,0.333,-4.963,0.0282,100.118,5,0.43,['pop']
36,5xXqyjLicvEpch72qEryFT,Speak Now (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,71,0.734,0.225,0.686,0.0,0.136,-2.926,0.0349,119.002,7,0.598,['pop']
37,6NFyWDv5CjfwuzoCkw47Xf,Delicate,reputation,Taylor Swift,82,0.75,0.216,0.404,0.000357,0.0911,-10.178,0.0682,95.045,9,0.0499,['pop']
38,3hUxzQpSfdDqwM3ZTFQY0K,august,folklore,Taylor Swift,87,0.532,0.538,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,5,0.403,['pop']
39,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),folklore,Taylor Swift,79,0.298,0.778,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,6,0.152,['pop']
40,4wf0ZHAJqLLoiFYR9IRwco,Bad Blood,1989,Taylor Swift,0,0.652,0.0871,0.802,6.45e-06,0.148,-6.114,0.181,170.157,7,0.295,['pop']
41,4R2kfaDFhslZEMJqAFNpdd,cardigan,folklore,Taylor Swift,87,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,0,0.551,['pop']
42,4cAXvxzp3q7NIg0gFXjjvi,Style,1989,Taylor Swift,0,0.598,0.00256,0.786,0.00143,0.117,-5.572,0.0382,95.021,2,0.456,['pop']
43,6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,76,0.584,0.0129,0.557,0.0,0.0576,-6.371,0.0342,154.008,6,0.767,['pop']
44,04S1pkp1VaIqjg8zZqknR5,Enchanted,Speak Now,Taylor Swift,73,0.535,0.0716,0.618,0.000388,0.169,-3.913,0.0273,81.975,8,0.228,['pop']
45,1By2VQkUN0Frd8mKNV5NYC,Better Than Revenge,Speak Now (Deluxe Edition),Taylor Swift,56,0.516,0.0139,0.917,6.37e-06,0.36,-3.186,0.0827,145.821,11,0.635,['pop']
46,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,reputation,Taylor Swift,83,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,128.07,9,0.506,['pop']
47,4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,76,0.516,0.00108,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,1,0.408,['pop']
48,1ZY1PqizIl78geGM4xWlEA,Gorgeous,reputation,Taylor Swift,78,0.8,0.0713,0.535,9.48e-06,0.213,-6.684,0.135,92.027,7,0.451,['pop']
49,6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,79,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,2,0.415,['pop']
50,3yII7UwgLF6K5zW3xad3MP,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,76,0.642,0.000443,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,7,0.642,['pop']
51,1msEuwSBneBKpVCZQcFTsU,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,69,0.598,0.0231,0.821,0.0,0.143,-4.433,0.0447,128.03,10,0.673,['pop']
52,11UaQaEp2LvdspTyyuE3ur,Haunted,Speak Now (Deluxe Edition),Taylor Swift,49,0.436,0.0826,0.95,1.08e-06,0.149,-2.627,0.057,162.088,5,0.352,['pop']
53,7qEUFOVcxRI19tbT68JcYK,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,71,0.498,0.271,0.61,0.0,0.223,-5.098,0.0363,79.918,6,0.474,['pop']
54,7F5oktn5YOsR9eR5YsFtqb,New Year’s Day,reputation,Taylor Swift,72,0.661,0.921,0.151,0.0,0.13,-12.864,0.0354,94.922,0,0.23,['pop']
55,6rap8NpGq8LDcVaJWkKFPn,champagne problems,evermore,Taylor Swift,59,0.463,0.92,0.248,0.0,0.113,-12.036,0.0374,171.346,0,0.325,['pop']
56,0z9UVN8VBHJ9HdfYsOuuNf,Safe & Sound - from The Hunger Games Soundtrack,The Hunger Games: Songs From District 12 And Beyond,Various Artists,62,0.471,0.883,0.3,1.05e-05,0.0698,-10.807,0.028,144.319,7,0.289,['pop']
57,1q8E1FfFuhd12c5JcJwPxQ,Sparks Fly,Speak Now (Deluxe Edition),Taylor Swift,49,0.605,0.0396,0.787,1.42e-06,0.163,-3.002,0.0308,114.987,5,0.374,['pop']
58,7lxADouiWFkwR7ZV2GKUcH,Back To December,Speak Now (Deluxe Edition),Taylor Swift,49,0.529,0.117,0.67,0.0,0.334,-4.663,0.0303,141.893,2,0.286,['pop']
59,0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,reputation,Taylor Swift,82,0.562,0.00465,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,2,0.351,['pop']
60,2Eeur20xVqfUoM3Q7EFPFt,the last great american dynasty,folklore,Taylor Swift,73,0.686,0.467,0.662,0.0023,0.109,-8.505,0.0413,147.922,7,0.706,['pop']
61,2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,68,0.559,0.116,0.646,0.0,0.32,-4.61,0.0272,95.466,7,0.289,['pop']
62,15DeqWWQB4dcEWzJg15VrN,Our Song,Taylor Swift,Taylor Swift,72,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,89.011,2,0.539,['pop']
63,6LZaxlycSWrJZ4Volb25qx,Mine,Speak Now (Deluxe Edition),Taylor Swift,49,0.624,0.00265,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,7,0.658,['pop']
64,2CYVETnhM9aytqrazYYwrK,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,72,0.66,0.162,0.817,0.0,0.0667,-6.269,0.0521,135.942,11,0.714,['pop']
65,6Nde5KuTXyB7jlPO4upaBo,Out Of The Woods,1989 (Deluxe Edition),Taylor Swift,52,0.553,0.000743,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,7,0.338,['pop']
66,45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),1989 (Taylor's Version),Taylor Swift,80,0.732,0.0901,0.719,0.0,0.331,-5.469,0.0645,96.035,0,0.71,['pop']
