,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
0,4frLb7nWtsz2ymBE6k2GRP,Earned It (Fifty Shades Of Grey),Beauty Behind The Madness,The Weeknd,73,0.657,0.405,0.291,0.0,0.0771,-8.275,0.0348,119.782,2,0.405,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1,7fBv7CLKzipRk6EC6TWHOB,The Hills,Beauty Behind The Madness,The Weeknd,86,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,0,0.137,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2,4PhsKqMdgMEUSstTDAmMpg,Often,Beauty Behind The Madness,The Weeknd,80,0.572,0.222,0.631,0.0,0.135,-9.836,0.0476,134.078,7,0.0713,"['canadian contemporary r&b', 'canadian pop', 'pop']"
3,22VdIZQfgXJea34mQxlt81,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,83,0.705,0.113,0.769,0.0,0.105,-5.526,0.0425,107.949,9,0.583,"['canadian contemporary r&b', 'canadian pop', 'pop']"
4,25KybV9BOUlvcnv7nN3Pyo,In The Night,Beauty Behind The Madness,The Weeknd,74,0.505,0.0796,0.68,0.0,0.0465,-4.993,0.0714,168.022,7,0.539,"['canadian contemporary r&b', 'canadian pop', 'pop']"
5,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,The Weeknd,90,0.679,0.141,0.587,6.35e-06,0.137,-7.015,0.276,186.003,7,0.486,"['canadian contemporary r&b', 'canadian pop', 'pop']"
6,00NAQYOP4AmWR549nnYJZu,Secrets,Starboy,The Weeknd,67,0.664,0.0155,0.771,9.6e-06,0.46,-5.779,0.0533,109.949,0,0.763,"['canadian contemporary r&b', 'canadian pop', 'pop']"
7,37F0uwRSrdzkBiuj0D5UHI,Reminder,Starboy,The Weeknd,84,0.705,0.142,0.505,0.0,0.164,-6.923,0.193,160.053,8,0.388,"['canadian contemporary r&b', 'canadian pop', 'pop']"
8,1oGdVdYjeQvojGKDddxLQQ,True Colors,Starboy,The Weeknd,63,0.624,0.286,0.424,0.0,0.173,-8.237,0.24,76.671,1,0.584,"['canadian contemporary r&b', 'canadian pop', 'pop']"
9,4EDijkJdHBZZ0GwJ12iTAj,Stargirl Interlude,Starboy,The Weeknd,76,0.638,0.351,0.474,0.191,0.105,-12.7,0.124,179.771,5,0.441,"['canadian contemporary r&b', 'canadian pop', 'pop']"
